Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
26.0728;1.50569;0.602277
26.107;1.54535;0.61814
26.1433;1.58736;0.634943
26.1767;1.62596;0.650385
26.2082;1.66222;0.664886
26.2403;1.69926;0.679706
26.2722;1.73592;0.694366
26.3041;1.77254;0.709015
26.336;1.80899;0.723596
26.3695;1.84731;0.738922
26.4023;1.88454;0.753815
26.4364;1.92313;0.769251
26.4712;1.96227;0.784906
26.5048;1.99995;0.799982
26.5399;2.03918;0.8
26.5743;2.07735;0.8
26.6075;2.11391;0.8
26.6413;2.15092;0.8
26.6729;2.1853;0.8
26.7057;2.22067;0.8
26.7371;2.25424;0.8
26.7709;2.29008;0.8
26.8033;2.32433;0.8
26.838;2.36055;0.8
26.87;2.39357;0.8
26.9029;2.42725;0.8
26.9375;2.46216;0.8
26.9719;2.49657;0.8
27.0052;2.5295;0.8
27.0371;2.56062;0.8
27.0688;2.5912;0.8
27.1009;2.62175;0.8
27.1336;2.65247;0.8
27.1679;2.68427;0.8
27.2014;2.71489;0.8
27.2351;2.74518;0.8
27.2702;2.77629;0.8
27.3054;2.80693;0.8
27.3259;2.82454;0.8
27.3593;2.85277;0.8
27.3935;2.88107;0.8
27.4248;2.90659;0.8
27.4571;2.9324;0.8
27.4899;2.95819;0.8
27.5216;2.9825;0.8
27.5429;2.99864;0.8
27.5762;3.02335;0.8
27.6085;3.04683;0.8
27.6401;3.06929;0.8
27.6718;3.09132;0.8
27.7051;3.11383;0.8
27.7383;3.13574;0.8
27.7701;3.15617;0.8
27.8078;3.17973;0.8
27.8403;3.19942;0.8
27.8729;3.21858;0.8
27.9053;3.23706;0.8
27.9359;3.25398;0.8
27.969;3.27168;0.8
28.0008;3.28819;0.8
28.0321;3.30385;0.8
28.0641;3.31932;0.8
28.0971;3.33459;0.8
28.1303;3.34941;0.8
28.1624;3.36319;0.8
28.1935;3.37601;0.8
28.2247;3.38826;0.8
28.2565;3.40022;0.8
28.2882;3.4115;0.8
28.3192;3.422;0.8
28.3509;3.43216;0.8
28.3831;3.44194;0.8
28.4158;3.45122;0.8
28.4481;3.45982;0.8
28.4814;3.46809;0.8
28.5145;3.47565;0.8
28.5472;3.48256;0.8
28.5795;3.48872;0.8
28.6133;3.49457;0.8
28.6442;3.4993;0.8
28.6771;3.5038;0.8
28.7067;3.50732;0.8
28.7372;3.51041;0.8
28.7704;3.51317;0.8
28.8054;3.51537;0.8
28.8421;3.51698;0.8
28.864;3.51758;0.8
28.8973;3.51794;0.8
28.9314;3.51767;0.8
28.9643;3.51682;0.8
